Property Name,Price,House Type,Area (sq ft),Bedrooms,Bathrooms,Receptions,Location,City/County,Postal Code,Price per sqft
Common Road,5000000,House,5156,6,6,6,Stanmore,Middlesex,HA7 3JF,969.7439875872769
Aissele Place,899950,House,1743,3,3,3, Esher,Surrey,KT10 9RL,516.3224325874928
Claremont End,2650000,House,4141,5,5,5,Esher,Surrey,KT10 9LZ,639.9420429847863
Belgrave Road,850000,Flat / Apartment,1100,2,2,2,Pimlico,London,SW1V 2BH,772.7272727272727
Galesbury Road,1350000,House,1867,4,4,4,Wandsworth,London,SW18 2RL,723.0851633636851
Alma Road,1825000,House,2140,4,4,4, Wandsworth,London,SW18 1AB,852.803738317757
St. Ann's Hill,2350000,House,3801,7,7,7,Wandsworth,London,SW18 2RS,618.2583530649829
Burnell House,800000,Penthouse,1039,3,3,3,55 Peloton Avenue,London,E20 1GY,769.9711260827719
Elm Tree Court,1100000,Flat / Apartment,1152,3,3,3,Elm Tree Road,London,NW8 9JT,954.8611111111111
St. Thomas's Mews,799950,House,1160,3,3,3, Putney,London,SW18 1AX,689.6120689655172
Hallowell Road,500000,House,792,2,2,2,Northwood,Middlesex,HA6 1DU,631.3131313131313
Bolingbroke Grove,575000,Flat / Apartment,625,2,2,2,Unknown,London,SW11 1DB,920.0
Aliwal Road,1375000,New development,1712,4,4,4,Unknown,London,SW11 1RD,803.1542056074767
Southgate Road,1675000,House,1845,5,5,5,Islington,London,N1 3HX,907.8590785907859
Welsby Court,700000,Flat / Apartment,964,2,2,2,Eaton Rise,London,W5 2EX,726.1410788381743
Gloucester Road,1400000,House,2151,5,5,5,Ealing,London,W5 4JB,650.8600650860066
Bramham Gardens,3295000,Flat / Apartment,1846,3,3,3,Unknown,London,SW5 0JE,1784.9404117009751
Christian Court,489000,Flat / Apartment,660,2,2,2,Rotherhithe Street,London,SE16 5UA,740.9090909090909
Hollywood Court,1395000,Penthouse,831,2,2,2,Hollywood Road,London,SW10 9HR,1678.7003610108304
Hogarth Road,1200000,Flat / Apartment,834,1,1,1,Unknown,London,SW5 0QH,1438.8489208633093
Chiswick High Road,695000,Flat / Apartment,784,2,2,2,Chiswick,London,W4 1TE,886.4795918367347
The Oxygen,500000,Flat / Apartment,822,2,2,2,18 Western Gateway,London,E16 1BL,608.272506082725
Lombard Wharf,950000,Flat / Apartment,880,2,2,2, Battersea,London,SW11 3GN,1079.5454545454545
Ashley Gardens,1525000,Flat / Apartment,1215,2,2,2,Thirleby Road,London,SW1P 1HN,1255.1440329218108
Hanover Gate Mansions,649950,Flat / Apartment,510,1,1,1,Park Road,London,NW1 4SN,1274.4117647058824
Rutland Gate,3495000,Penthouse,1409,3,3,3,Knightsbridge,London,SW7 1PL,2480.4826117814055
Bramfield Road,850000,Flat / Apartment,1010,2,2,2,Unknown,London,SW11 6PY,841.5841584158416
Warrington Crescent,4250000,Flat / Apartment,2750,4,4,4,Little Venice,London,W9 1EL,1545.4545454545455
Copsem Drive,2125000,House,3763,5,5,5,Esher,Surrey,KT10 9HD,564.7090087695988
Hogarth Road,775000,Flat / Apartment,624,2,2,2,Unknown,London,SW5 0PT,1241.9871794871794
The Lab Building,450000,Flat / Apartment,386,1,1,1, Clerkenwell,London,EC1R 4TW,1165.80310880829
St. George's Drive,650000,Flat / Apartment,458,2,2,2,Pimlico,London,SW1V 4DJ,1419.2139737991267
Rose Square,3850000,New development,1776,3,3,3,Fulham Road,London,SW3 6RS,2167.7927927927926
Albert Gate Court,5500000,Flat / Apartment,2651,4,4,4,124 Knightsbridge,London,SW1X 7PE,2074.688796680498
Chelsea Towers,1300000,Flat / Apartment,832,2,2,2,Chelsea Manor Gardens,London,SW3 5PN,1562.5
Ainsdale Road,900000,House,1253,3,3,3,Unknown,London,W5 1JX,718.2761372705506
Ledbury Road,1500000,Flat / Apartment,1107,3,3,3,Unknown,London,W11 1HR,1355.0135501355014
Mysore Road,1075000,Duplex,1295,3,3,3,Unknown,London,SW11 5RY,830.1158301158301
Warrington Crescent,1150000,Flat / Apartment,928,2,2,2,Little Venice,London,W9 1EL,1239.2241379310344
Madrid Road,2950000,House,3953,4,4,4,Barnes,London,SW13 9PD,746.2686567164179
"Park Terrace, Warriner Gardens",2795000,House,2768,4,4,4,Battersea,London,SW11 4XW,1009.7543352601156
Addison Park Mansions,1150000,Flat / Apartment,1100,3,3,3,Richmond Way,London,W14 0EB,1045.4545454545455
Weston Green Road,1200000,House,1813,4,4,4,Thames Ditton,Surrey,KT7 0HY,661.8863761720904
Hyde Park Gardens Mews,2850000,House,1543,3,3,3,Unknown,London,W2 2NX,1847.051198963059
Bonney Terrace,1900000,House,2090,4,4,4,Ravenscourt Park,London,W6 0SN,909.0909090909091
King Street,550000,Flat / Apartment,517,1,1,1,Hammersmith,London,W6 0RR,1063.8297872340424
Hendham Road,1550000,House,1777,4,4,4,Wandsworth,London,SW17 7DH,872.2566122678672
Sandy Lane,2195000,House,3467,5,5,5,Teddington,Middlesex,TW11 0DR,633.1122007499279
Timber Yard,1000000,Flat / Apartment,902,1,1,1, Shoreditch,London,N1 6ND,1108.6474501108648
Foyle Road,2500000,New development,3682,5,5,5,Blackheath,London,SE3 7RH,678.9788158609451
Cecil Road,895000,House,1305,3,3,3,Unknown,London,SW19 1JR,685.823754789272
Book House,650000,Flat / Apartment,797,2,2,2,45 East Hill,London,SW18 2QZ,815.5583437892095
Cadogan Square,4150000,Flat / Apartment,1504,2,2,2,Unknown,London,SW1X 0JW,2759.308510638298
Palace Court,1950000,Flat / Apartment,1883,3,3,3,Hampstead,London,NW3 6DN,1035.5815188528943
Stevens Lane,1195000,House,2389,4,4,4, Esher,Surrey,KT10 0TT,500.2092925910423
Coleherne Court,2750000,Flat / Apartment,1821,4,4,4,Old Brompton Road,London,SW5 0ED,1510.1592531576057
Godolphin Road,550000,Flat / Apartment,529,2,2,2,Unknown,London,W12 8JF,1039.6975425330813
Ethelden Road,1500000,House,1860,4,4,4,Unknown,London,W12 7BG,806.4516129032259
Kersley Street,1950000,House,2090,4,4,4,Unknown,London,SW11 4PT,933.0143540669857
Clanricarde Gardens,2150000,Flat / Apartment,1830,4,4,4,Unknown,London,W2 4JH,1174.863387978142
Clancarty Road,2800000,House,2682,5,5,5,Fulham,London,SW6 3BB,1043.9970171513796
Morella Road,750000,Flat / Apartment,816,2,2,2,Unknown,London,SW12 8UH,919.1176470588235
Chandlers Avenue,395000,Flat / Apartment,553,1,1,1,Greenwich,London,SE10 0NN,714.2857142857143
Elgin Avenue,685000,Flat / Apartment,661,2,2,2,Maida Vale,London,W9 1NH,1036.3086232980334
Ashlar Court,795000,Flat / Apartment,986,2,2,2,21 Ravenscourt Gardens,London,W6 0TU,806.2880324543611
Twyford Abbey Road,699950,House,1029,3,3,3,Unknown,London,NW10 7HG,680.2235179786201
Lanark Mansions,600000,Flat / Apartment,570,2,2,2,14 Lanark Road,London,W9 1DB,1052.6315789473683
Saltram Crescent,625000,Flat / Apartment,616,2,2,2,Unknown,London,W9 3HR,1014.6103896103896
Hermitage Court,775000,Flat / Apartment,832,3,3,3,Knighten Street,London,E1W 1PW,931.4903846153846
Television Centre,1175000,Flat / Apartment,880,2,2,2,3 Wood Crescent,London,W12 7GN,1335.2272727272727
Afghan Road,1200000,House,1449,4,4,4,Unknown,London,SW11 2QD,828.1573498964804
Regents Park Road,3000000,Flat / Apartment,1901,4,4,4,Primrose Hill,London,NW1 7TX,1578.1167806417675
Ormond Road,1895000,House,1772,4,4,4,Richmond,Surrey,TW10 6TH,1069.41309255079
Elgin Avenue,975000,Flat / Apartment,787,2,2,2,Maida Vale,London,W9 2NS,1238.8818297331638
Cholmeley Park,2650000,Penthouse,2402,5,5,5,Highgate,London,N6 5AD,1103.2472939217319
Castelnau Court,575000,Flat / Apartment,793,3,3,3, Barnes,London,SW13 9DH,725.0945775535939
Dawson Place,3750000,Flat / Apartment,1657,3,3,3,Unknown,London,W2 4TJ,2263.126131563066
Balham Grove,730000,Flat / Apartment,893,2,2,2,Unknown,London,SW12 8AZ,817.4692049272116
Willoughby Mews,1095000,House,1268,3,3,3,Unknown,London,SW4 0QH,863.564668769716
Boscobel Place,4400000,House,2087,4,4,4,Belgravia,London,SW1W 9PE,2108.2894106372783
Culford Grove,1850000,House,1625,4,4,4,Unknown,London,N1 4HR,1138.4615384615386
Haverstock Hill,1100000,Flat / Apartment,908,2,2,2,Hampstead,London,NW3 2BD,1211.4537444933922
Charlotte Lodge,430000,Flat / Apartment,826,2,2,2, Esher,Surrey,KT10 0LR,520.5811138014528
Coleherne Court,1495000,Flat / Apartment,971,2,2,2,The Little Boltons,London,SW5 0DL,1539.6498455200824
Valley Road,375000,Flat / Apartment,504,1,1,1,Unknown,London,SW16 2AE,744.047619047619
Tooting High Street,425000,Flat / Apartment,473,1,1,1,Unknown,London,SW17 0GU,898.5200845665962
Boundaries Road,675000,Flat / Apartment,767,2,2,2,Unknown,London,SW12 8BY,880.0521512385919
Lonsdale Road,3250000,House,3203,5,5,5,Barnes,London,SW13 9ED,1014.6737433655948
Elmhurst Mansions,599950,Flat / Apartment,680,2,2,2,Edgeley Road,London,SW4 6HA,882.2794117647059
Lessar Avenue,1795000,House,2336,5,5,5,Unknown,London,SW4 9HQ,768.4075342465753
The Butts,1495000,House,2322,4,4,4,Brentford,Middlesex,TW8 8BJ,643.8415159345392
Blakesley Avenue,1000000,Flat / Apartment,1380,2,2,2,Unknown,London,W5 2DW,724.6376811594203
Colinette Road,940000,Flat / Apartment,1155,2,2,2,Putney,London,SW15 6QQ,813.8528138528138
Homefield Road,399950,Flat / Apartment,305,1,1,1,Wimbledon,London,SW19 4QF,1311.311475409836
Bow Quarter,365000,Flat / Apartment,415,1,1,1,60 Fairfield Road,London,E3 2UJ,879.5180722891566
Marlborough,750000,Flat / Apartment,892,2,2,2,Maida Vale,London,W9 1RW,840.8071748878924
Wandsworth Common West Side,1850000,House,2247,5,5,5,Wandsworth,London,SW18 2EE,823.3199821984869
Bournebridge Lane,1825000,House,3918,6,6,6,Stapleford Abbotts,Romford,RM4 1LT,465.79887697805003
King Henrys Road,1000000,Flat / Apartment,892,2,2,2,Primrose Hill,London,NW3 3QP,1121.0762331838564
Rutland Gate,1275000,Flat / Apartment,675,2,2,2,Unknown,London,SW7 1PD,1888.888888888889
Ascensis Tower,2250000,Flat / Apartment,1945,3,3,3, Battesea,London,SW18 1AY,1156.8123393316196
Goldings Rise,775000,House,1285,3,3,3,Loughton,Essex,IG10 2QP,603.1128404669261
Oakley Square,3750000,House,4847,6,6,6,Camden,London,NW1 1NJ,773.6744377965751
Liverpool Road,750000,Flat / Apartment,880,2,2,2,Lower Holloway,London,N7 8PG,852.2727272727273
Jasmine House,500000,Flat / Apartment,680,2,2,2, Battersea,London,SW18 1GJ,735.2941176470588
Admiral Court,1600000,Flat / Apartment,1282,2,2,2, Chelsea Harbour,London,SW10 0UU,1248.04992199688
Seward Street,700000,Flat / Apartment,836,2,2,2,Clerkenwell,London,EC1V 3PA,837.3205741626795
Shirland Road,780000,Flat / Apartment,767,2,2,2,Maida Vale,London,W9 2EQ,1016.9491525423729
Graham Terrace,2750000,House,1782,4,4,4,Belgravia,London,SW1W 8JE,1543.20987654321
Lexham Gardens,660000,Flat / Apartment,603,1,1,1,Unknown,London,W8 6JE,1094.5273631840796
Mandrake Road,1195000,House,1602,5,5,5,Unknown,London,SW17 7PT,745.9425717852685
Inglethorpe Street,1699000,House,1993,5,5,5,Fulham,London,SW6 6NX,852.4836929252383
Cedarside Apartments,800000,Flat / Apartment,937,2,2,2,3 Albert Road,Queens Park,NW6 5FT,853.7886872998932
Blandfield Road,1250000,House,1450,3,3,3,Unknown,London,SW12 8BG,862.0689655172414
Densham House,800000,Flat / Apartment,945,3,3,3, St. John's Wood,London,NW8 7NT,846.5608465608466
Gorst Road,2250000,House,2351,5,5,5,Unknown,London,SW11 6JE,957.0395576350489
Horizons Tower,1250000,Flat / Apartment,1203,2,2,2, Canary Wharf,London,E14 9RG,1039.0689941812136
Thirlmere Road,1875000,House,3478,7,7,7,Unknown,London,SW16 1QW,539.102932719954
Greenford Avenue,1250000,House,2804,5,5,5,Hanwell,London,W7 3QS,445.7917261055635
Stokenchurch Street,2750000,House,2605,6,6,6, Fulham,London,SW6 3TR,1055.662188099808
Winfrith Road,550000,Flat / Apartment,896,2,2,2,Unknown,London,SW18 3BD,613.8392857142857
Great Titchfield Street,745000,Flat / Apartment,703,2,2,2,Fitzrovia,London,W1W 6RR,1059.7439544807967
Dorland Court,525000,Flat / Apartment,654,2,2,2, Putney,London,SW15 2UG,802.7522935779816
Canaletto Tower,1150000,Flat / Apartment,882,2,2,2,257 City Road,London,EC1V 1AE,1303.8548752834467
Macfarlane Road,2500000,House,2861,5,5,5,Unknown,London,W12 7JY,873.8203425375742
Forest Close,799999,House,2156,4,4,4,Waltham Abbey,Essex,EN9 3QR,371.05705009276437
Elsworthy Rise,1050000,New development,612,1,1,1,Primrose Hill,London,NW3 3DS,1715.686274509804
Bickenhall Street,2900000,Penthouse,1455,2,2,2,Marylebone,London,W1U 6BN,1993.127147766323
Upper Wimpole Street,11950000,House,7226,5,5,5,Marylebone,London,W1G 6LU,1653.7503459728757
Sandown Avenue,3750000,House,5554,6,6,6,Esher,Surrey,KT10 9NT,675.1890529348218
Leopold Court,850000,Flat / Apartment,1344,2,2,2, Esher,Surrey,KT10 9BW,632.4404761904761
Streathbourne Road,1975000,House,2910,7,7,7,Unknown,London,SW17 8QY,678.6941580756014
Fairfax Road,2800000,House,2959,5,5,5, Chiswick,London,W4 1EW,946.2656302805002
Cranley Gardens,1400000,Flat / Apartment,732,2,2,2,South Kensington,London,SW7 3BD,1912.568306010929
White Hart Lane,725000,Flat / Apartment,1242,2,2,2,Barnes,London,SW13 0PZ,583.7359098228663
Chenies Mews,2000000,Flat / Apartment,1335,2,2,2,Unknown,London,WC1E 6HU,1498.1273408239701
Overstrand Mansions,850000,Flat / Apartment,838,2,2,2,Prince of Wales Drive,London,SW11 4HA,1014.3198090692124
Tottenham Road,255000,Flat / Apartment,440,1,1,1,De Beauvoir,London,N1 4EP,579.5454545454545
Englewood Road,795000,Flat / Apartment,919,2,2,2,Unknown,London,SW12 9NZ,865.0707290533188
Hollen Street,1500000,New development,843,1,1,1,Soho,London,W1F 8AZ,1779.3594306049822
One Kensington Gardens,5950000,Penthouse,1993,3,3,3,4 De Vere Gardens,London,W8 5AE,2985.449071751129
Courtnell Street,3250000,House,1813,3,3,3,Unknown,London,W2 5BX,1792.6089354660783
Chi Building,550000,Flat / Apartment,893,2,2,2,54 Crowder Street,London,E1 0EZ,615.9014557670773
Patshull Road,500000,Flat / Apartment,418,1,1,1,Kentish Town,London,NW5 2JY,1196.1722488038276
Ernle Road,2950000,House,3601,6,6,6,Wimbledon,London,SW20 0HJ,819.2168841988337
Vanderbilt Road,1135000,House,1675,4,4,4, Wandsworth,London,SW18 3BG,677.6119402985074
Potter Street,775000,House,1469,4,4,4,Northwood,Middlesex,HA6 1QH,527.569775357386
Freegrove Road,1799500,House,2761,6,6,6,Holloway,London,N7 9RG,651.7566099239406
Dalston Lane,650000,Flat / Apartment,1018,2,2,2,Hackney,London,E8 1LX,638.5068762278978
Wild Hatch,2350000,House,2835,4,4,4,Hampstead Garden Suburb,London,NW11 7LD,828.9241622574956
Earl's Court Square,795000,Flat / Apartment,666,2,2,2,Unknown,London,SW5 9DG,1193.6936936936936
Keepier Wharf,1900000,Flat / Apartment,1963,4,4,4, Limehouse,London,E14 8DH,967.9062659195109
Cambridge Road,1950000,House,1907,5,5,5,Barnes,London,SW13 0PG,1022.5485055060304
Soval Court,950000,Flat / Apartment,1580,3,3,3, Northwood,Middlesex,HA6 2FS,601.2658227848101
Palace Gate,1850000,Flat / Apartment,1332,2,2,2,Unknown,London,W8 5LY,1388.888888888889
Academy Gardens,4950000,New development,2011,2,2,2,Duchess of Bedfords Walk,London,W8 7QQ,2461.4619592242666
Church Street,2685000,House,3873,6,6,6,Hampton,Middlesex,TW12 2EG,693.2610379550736
Nutley Terrace,3995000,House,3480,3,3,3,Hampstead,London,NW3 5BX,1147.9885057471265
St. Edmunds Terrace,6975000,Flat / Apartment,2583,3,3,3,St John's Wood,London,NW8 7ED,2700.348432055749
Dunstable Mews,2250000,House,1269,2,2,2,Marylebone,London,W1G 6BT,1773.049645390071
Elm Grove Road,2595000,House,3100,5,5,5,Barnes,London,SW13 0BX,837.0967741935484
Abbotts Close,650000,Flat / Apartment,767,2,2,2, Islington,London,N1 2HJ,847.457627118644
Carmichael Court,685000,Flat / Apartment,783,3,3,3, Barnes,London,SW13 0HA,874.8403575989782
Pont Street,19450000,Flat / Apartment,4699,5,5,5,Unknown,London,SW1X 0AD,4139.1785486273675
Crescent Road,1650000,House,2809,4,4,4,Kingston upon Thames,Surrey,KT2 7RF,587.3976504093984
Mint Street,600000,Flat / Apartment,1026,3,3,3,Bethnal Green,London,E2 6FX,584.7953216374269
Amhurst Road,515000,Flat / Apartment,518,1,1,1,Hackney,London,E8 1JH,994.2084942084942
Calico Apartments,699950,Flat / Apartment,743,2,2,2,18A Varden Street,London,E1 2AR,942.0592193808883
College Court,750000,Flat / Apartment,1072,4,4,4,Queen Caroline Street,London,W6 9DY,699.6268656716418
Battersea Park Road,599950,Flat / Apartment,657,2,2,2,Battersea,London,SW11 4ND,913.165905631659
Clapham Common North Side,2695000,House,2567,5,5,5,Unknown,London,SW4 9SD,1049.8636540708999
Coleherne Mews,3600000,New development,2000,3,3,3,Unknown,London,SW10 9DZ,1800.0
Maine Tower,1050000,New development,1075,3,3,3, Canary Wharf,London,E14 9DQ,976.7441860465116
Regency Walk,525000,Bungalow,583,2,2,2,Richmond,Surrey,TW10 6AU,900.5145797598627
Pendant Court,575000,Flat / Apartment,810,2,2,2, Newham,London,E16 2TF,709.8765432098766
Yvon House,500000,Flat / Apartment,536,1,1,1,Alexandra Avenue,London,SW11 4GA,932.8358208955224
Norton House,795000,Flat / Apartment,753,2,2,2,Duke of Wellington Avenue,London,SE18 6EY,1055.7768924302788
Coborn Mews,550000,Flat / Apartment,574,2,2,2,Coborn Street,London,E3 2AB,958.1881533101046
Television Centre,1235000,Flat / Apartment,960,2,2,2,4 Wood Crescent,London,W12 7GP,1286.4583333333333
Montagu Square,2595000,Flat / Apartment,1452,3,3,3,Marylebone,London,W1H 2LW,1787.190082644628
Beech Drive,2350000,House,5303,5,5,5, Tadworth,Surrey,KT20 6PP,443.14538940222513
Church Path,900000,House,1467,3,3,3,Bollo Bridge Road,London,W3 8AY,613.4969325153374
Blurton Road,1275000,House,1730,3,3,3,Unknown,London,E5 0NH,736.9942196531792
Prince Albert Court,2700000,Flat / Apartment,1665,3,3,3,33 Prince Albert Road,London,NW8 7LU,1621.6216216216217
Apex House,650000,Flat / Apartment,798,3,3,3, Brick Lane,London,E1 6LF,814.5363408521304
Gowrie Road,475000,Flat / Apartment,425,1,1,1,Unknown,London,SW11 5NR,1117.6470588235295
Landor Road,450000,Flat / Apartment,647,1,1,1,Unknown,London,SW9 9PH,695.5177743431221
Queensland Road,550000,New development,728,2,2,2,Highbury,London,N7 7EZ,755.4945054945055
Sigdon Road,1150000,House,1398,3,3,3,Hackney,London,E8 1AP,822.6037195994278
Weston Road,595000,Flat / Apartment,702,2,2,2,Chiswick,London,W4 5NH,847.5783475783476
Princes Gate,7500000,Flat / Apartment,2290,3,3,3,Unknown,London,SW7 1QJ,3275.109170305677
Westover Hill,4850000,House,5613,5,5,5,Hampstead,London,NW3 7UH,864.06556208801
Rusholme Road,3195000,House,4923,6,6,6,Putney,London,SW15 3JX,648.9945155393053
Ardwick Road,795000,New development,925,2,2,2,Fortune Green,London,NW2 2BX,859.4594594594595
Sudbrook Lane,3100000,House,3080,5,5,5,Richmond,Surrey,TW10 7AY,1006.4935064935065
Cedars Mews,2295000,House,2454,4,4,4,Unknown,London,SW4 0QD,935.2078239608802
Endlesham Road,2800000,House,2872,5,5,5,Unknown,London,SW12 8JL,974.9303621169917
Kingswood Road,1450000,House,2147,3,3,3,Unknown,London,SW19 3ND,675.3609687936656
Althorp Road,2950000,New development,3336,6,6,6,Unknown,London,SW17 7ED,884.2925659472422
Homestead Road,625000,Flat / Apartment,537,2,2,2,Fulham,London,SW6 7DB,1163.873370577281
Chaucer Road,1000000,House,1502,3,3,3,Unknown,London,W3 6DP,665.7789613848203
Eltham Court,575000,New development,800,2,2,2, West Ealing,London,W13 8RA,718.75
High Street,1095000,House,1885,4,4,4,Esher,Surrey,KT10 9QA,580.9018567639257
Moira Court,425000,Flat / Apartment,590,2,2,2,Balham High Road,London,SW17 7AQ,720.3389830508474
Hannaford Walk,349995,Flat / Apartment,486,1,1,1,Unknown,London,E3 3TF,720.1543209876543
Purcell Mansions,1100000,Flat / Apartment,1335,3,3,3, Barons Court,Fulham,W14 9TP,823.9700374531835
Godolphin Road,1800000,House,2366,4,4,4,Unknown,London,W12 8JN,760.777683854607
Poplar Grove,1050000,Flat / Apartment,958,2,2,2,Unknown,London,W6 7RF,1096.0334029227558
Fulham Park Gardens,1600000,Flat / Apartment,1763,4,4,4,Fulham,London,SW6 4JZ,907.5439591605218
Lonsdale Road,4500000,House,3908,6,6,6,Barnes,London,SW13 9JS,1151.484135107472
Grosvenor Gardens,1095000,House,1838,4,4,4,Woodford Green,Essex,IG8 0AR,595.7562568008705
Dolben Court,1200000,Flat / Apartment,1083,2,2,2,Montaigne Close,London,SW1P 4BB,1108.03324099723
Kingston House South,2495000,Flat / Apartment,1753,3,3,3,Ennismore Gardens,London,SW7 1NF,1423.2743867655447
Cabul Road,1275000,House,1750,4,4,4,Battersea,London,SW11 2PN,728.5714285714286
Dalmeny Court,1500000,Flat / Apartment,798,2,2,2, St. James's,London,SW1Y 6BL,1879.6992481203008
Shirland Road,600000,Flat / Apartment,630,2,2,2,Maida Vale,London,W9 2EL,952.3809523809524
Randolph Avenue,1100000,Flat / Apartment,908,2,2,2,Unknown,London,W9 1PF,1211.4537444933922
Grand Drive,575000,House,971,3,3,3,Raynes Park,London,SW20 9DG,592.173017507724
Mandalay Road,925000,Flat / Apartment,893,2,2,2,Clapham,London,SW4 9EE,1035.8342665173573
Manor Road,1495000,House,2433,4,4,4, Loughton,Essex,IG10 4AD,614.4677353062064
Southwell Gardens,4750000,Flat / Apartment,2500,3,3,3,Unknown,London,SW7 4SB,1900.0
Napier Road,2000000,House,2189,3,3,3,Unknown,London,W14 8LQ,913.6592051164915
Battersea Bridge Road,799950,Flat / Apartment,1040,2,2,2,Unknown,Battersea,SW11 3AS,769.1826923076923
Fielding Road,1300000,House,1347,3,3,3,Chiswick,London,W4 1DB,965.1076466221232
Schubert Road,1100000,Flat / Apartment,2043,4,4,4,Putney,London,SW15 2QS,538.4238864415075
Great Eastern Street,1200000,Flat / Apartment,890,1,1,1,Unknown,London,EC2A 3EP,1348.314606741573
Nottingham Place,9250000,House,5139,4,4,4,Unknown,London,W1U 5LU,1799.961081922553
Rivermead,1499000,House,3238,5,5,5,East Molesey,Surrey,KT8 9AZ,462.94008647313154
The Heights,475000,Flat / Apartment,977,3,3,3, Watford,Hertfordshire,WD19 4PU,486.18219037871035
Mallinson Road,925000,Flat / Apartment,944,2,2,2,Unknown,London,SW11 1BP,979.8728813559322
Addisland Court,1450000,Flat / Apartment,961,2,2,2,Holland Villas Road,London,W14 8DA,1508.8449531737774
Fitzgerald Road,1995000,House,3443,5,5,5,Thames Ditton,Surrey,KT7 0TU,579.4365379029916
Ashburn Gardens,2195000,Flat / Apartment,1623,3,3,3,Unknown,London,SW7 4DG,1352.433764633395
Bazalgette Court,550000,Flat / Apartment,797,2,2,2,Great West Road,London,W6 9AG,690.0878293601004
Waldemar Avenue,1950000,House,2054,5,5,5,Bishops Park,Fulham,SW6 5LU,949.367088607595
Deodar Road,1375000,House,1360,3,3,3,Putney,London,SW15 2NJ,1011.0294117647059
Thirsk Road,799999,Flat / Apartment,1090,2,2,2,Unknown,London,SW11 5SU,733.9440366972477
Boyd Building,440000,Flat / Apartment,847,2,2,2,10 Frobisher Yard,London,E16 2GY,519.4805194805194
Nottingham Place,3500000,Flat / Apartment,1956,3,3,3,Marylebone,London,W1U 5NH,1789.3660531697342
Craig Tower,475000,Flat / Apartment,895,2,2,2, Bow,London,E3 4EF,530.7262569832402
Cavendish Road,825000,Flat / Apartment,1312,3,3,3,Brondesbury,London,NW6 7XP,628.810975609756
Meadowbank,3500000,House,2956,5,5,5,Primrose Hill,London,NW3 3AY,1184.0324763193505
Hillbrow,950000,Flat / Apartment,1239,3,3,3,Unknown,Richmond Hill,TW10 6BH,766.7473769168685
Draycott Place,2750000,Flat / Apartment,1474,3,3,3,Unknown,London,SW3 2SB,1865.6716417910447
Mogul Building,625000,Flat / Apartment,928,2,2,2, Stratford,London,E15 1FY,673.4913793103449
Boat Race House,1295000,New development,1487,2,2,2,63 Mortlake High Street,London,SW14 8HL,870.880968392737
West Hill Road,2950000,House,2995,5,5,5,Putney,London,SW18 1LE,984.9749582637729
Porchester Road,899995,Flat / Apartment,834,2,2,2,Notting Hill,London,W2 5DP,1079.130695443645
Alvington Crescent,1300000,House,1907,4,4,4,Hackney,London,E8 2NW,681.6990036706869
Elizabeth Mews,1495000,House,1020,2,2,2,Belsize Park,London,NW3 4UH,1465.686274509804
Keble Place,795000,Flat / Apartment,922,2,2,2,Barnes,London,SW13 8HL,862.2559652928417
Chiswick Quay,1450000,House,2106,4,4,4,Chiswick,London,W4 3UR,688.5090218423552
Sugden Road,795000,Flat / Apartment,860,2,2,2,Unknown,London,SW11 5ED,924.4186046511628
Barmouth Road,765000,Flat / Apartment,993,2,2,2,Wandsworth,London,SW18 2DT,770.392749244713
Vicarage Drive,2150000,House,2309,5,5,5,Unknown,London,SW14 8RX,931.1390212213079
Ivory House,825000,Flat / Apartment,616,1,1,1,East Smithfield,London,E1W 1AT,1339.2857142857142
Pond Place,9500000,House,4277,4,4,4,Unknown,London,SW3 6QJ,2221.183072246902
Knivet Road,1575000,House,1703,4,4,4, Fulham,London,SW6 1JJ,924.8385202583676
Paget Place,1575000,House,2514,4,4,4,Kingston upon Thames,Surrey,KT2 7HZ,626.491646778043
Wandsworth Road,1350000,House,1900,4,4,4,Unknown,London,SW8 3JF,710.5263157894736
Hans Crescent,2050000,Flat / Apartment,1003,2,2,2,Unknown,London,SW1X 0LJ,2043.8683948155533
Beaufort Gardens,1999950,Flat / Apartment,802,2,2,2,Unknown,London,SW3 1PS,2493.7032418952617
Pond Street,875000,Flat / Apartment,943,2,2,2,Hampstead,London,NW3 2PS,927.8897136797455
Glenburnie Road,1275000,House,1445,3,3,3,Unknown,London,SW17 7NE,882.3529411764706
Barrowgate Road,2850000,House,2833,5,5,5,Chiswick,London,W4 4QU,1006.0007059654077
Bath Road,3500000,House,3775,7,7,7,Bedford Park,London,W4 1LJ,927.1523178807947
Stanlake Road,1875000,House,2618,5,5,5,Unknown,London,W12 7HG,716.1955691367456
Bridge Street,2100000,House,2139,5,5,5,Chiswick,London,W4 5UF,981.7671809256663
Abbey Lodge,3750000,Flat / Apartment,2315,4,4,4, St John's Wood,London,NW8 7RJ,1619.8704103671707
Blomfield Road,2450000,Flat / Apartment,1289,2,2,2,Little Venice,London,W9 2PD,1900.6982156710628
Arena Tower,498000,Flat / Apartment,554,1,1,1, Canary Wharf,London,E14 9TA,898.9169675090253
Oxborough House,590000,Flat / Apartment,795,2,2,2,33 Eltringham Street,London,SW18 1GS,742.1383647798742
Clerkenwell Road,900000,Flat / Apartment,756,2,2,2,Unknown,London,EC1M 5PY,1190.4761904761904
Cranley Gardens,1195000,Flat / Apartment,850,1,1,1,Unknown,London,SW7 3DD,1405.8823529411766
